類別,店名,日文店名,地址,緯度,經度,直線距離（km）,評分,評論數,價位等級,營業時間,交通時間（分鐘）,步行時間（分鐘）,換乘次數,Google Maps連結,店家網站,照片資源
觀光景點,方丈庭園,方丈庭園,〒606-8435 京都府京都市左京区南禅寺福地町,35.0112287,135.7944519,4.3,4.5,176,,月曜日: 8時40分～16時30分 | 火曜日: 8時40分～16時30分 | 水曜日: 8時40分～16時30分 | 木曜日: 8時40分～16時30分 | 金曜日: 8時40分～16時30分 | 土曜日: 8時40分～16時30分 | 日曜日: 8時40分～16時30分,,,,https://maps.google.com/?cid=8075739970196172134&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://nanzenji.or.jp/equipment/garden,places/ChIJVVVlYyEJAWARZm33PbfKEnA/photos/Ab43m-veu2e0DukeOVUWHgd7_dEDfMwIZvIX_Lz8-72TZhmKNT_YKBYAstP4gcTbdp1vGIF6LLhcpTeFDg1QRAvPqCusymxjaPI7ZCDpI-djUFoSv-9Hdcdjdv1FJfukUOF-GSReoep5CwSfukiCSSO40k_VeHQ5edBmjQ5c4DQuQfim8wvwkH7LAxJyrDDSUuQ2z6f4sHx1f-BxsKFA8oAJr6VCICqTRvUdNggePFlsRPjC4Fpz8CoAFjxbxYK7Tn8AHi6_rjTy4lMt_9dEiuZ1N0mGq8mdfjr0TNLVX05wrn8_g4JqxvetxI_BJOtCifx59yyn-m457ZU1fh7qTDGzlc-1aGpSpsZUF5CSPpDTIWVImQuGwsH34rG472rY9KAPLAnWja3w64FklTwabSfRVTjvrbjQSWRvCNzff0Z26oTkntc
觀光景點,知恩院三門,知恩院三門,〒605-0062 京都府京都市東山区林下町４００,35.004811,135.7818215,2.98,4.7,141,,月曜日: 6時00分～16時00分 | 火曜日: 6時00分～16時00分 | 水曜日: 6時00分～16時00分 | 木曜日: 6時00分～16時00分 | 金曜日: 6時00分～16時00分 | 土曜日: 6時00分～16時00分 | 日曜日: 6時00分～16時00分,,,,https://maps.google.com/?cid=9745414742419526154&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.chion-in.or.jp/,places/ChIJ6Rsj4bUJAWARClLFJhOrPoc/photos/Ab43m-tl7tZoFRS-XUtlCFvtGMwKFkqHLfovMitP3526Jbzj-ckmA8F_lt8qdu8M8J-UnPXp3JWc41cM34KhIKZ9ZtgWe1F-bgXclrUYwk8WnaMJlnWtolPqf407U--y5W2L6Ewni2QbaTmNqOFodlA3u7UGMC960pvL5sAvg6-AZZovErdjWGs0I1eCtS4qxbn1XbW41cq5HI7_Z4y8VAQ-iPkLAut1itAldi0H7dYeJm4G73pQVTdboCzJ522gc-TcoBRybt7FYAnEkz8JKBfe1kdvXAReCp7Mo3mklI2ZKFs0zM7Dxu3ZqiGVvjfXi878c7_Cgrk1bjjKJcKTFTNWQsxqb-Atxxqmh7_VItvdG0I54NrdEBTtkzAa-_c1Tp3Zp2DbxhWOAPk3GphJj6NOySNQ7ar9KbUJNSFWgMjodJxsyt0A
寺廟,平等院,平等院,〒611-0021 京都府宇治市宇治蓮華１１６,34.8892908,135.8076783,11.63,4.5,21882,,月曜日: 8時45分～17時30分 | 火曜日: 8時45分～17時30分 | 水曜日: 8時45分～17時30分 | 木曜日: 8時45分～17時30分 | 金曜日: 8時45分～17時30分 | 土曜日: 8時45分～17時30分 | 日曜日: 8時45分～17時30分,,,,https://maps.google.com/?cid=6954706348575164324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.byodoin.or.jp/,places/ChIJqyva4AwRAWARpAf6j5MUhGA/photos/Ab43m-v3lT5BZHVOrRgiMbx2RdA5iuWrDEEjx0kahobEXFsIIVV23LwkdEx_n2Z8-XRvi28ZRAWPgJeNLpo2tEhPltO0_0Grh1bSK73UxFFMK7yOMEMkXI59tg2viiQ9-cp9tG0Zfe0YT96LLYJkth8B01BvBRDG57JkoTLnWH0GgW_blKoxb_KWJxrGqUYR2jgdgyuSFC5t0IrGiip75XnJKgfGkmDOd4A9GkiHg7V-zzzXeTWOkFnpCffYbj177ftrID7eYYGARbtxqfBeuGgX3VthiZWmP3E94H9kNxv5duuLnJVzQ-uU08oOqvSwvG20kSCoa2ux_rwQ6fL6JDP6hJzdFmvJumC35wDreP9ZwI4NIiwlWQFe5jSPX0BNyoeyP_VZuU2CCUtrL96rZwi_xHp38hgMH5qBlg4MfeyWTr1Q7Q
寺廟,三十三間堂,三十三間堂,〒605-0941 京都府京都市東山区三十三間堂廻り６５７,34.9878845,135.7717126,1.2,4.7,16805,,月曜日: 8時30分～17時00分 | 火曜日: 8時30分～17時00分 | 水曜日: 8時30分～17時00分 | 木曜日: 8時30分～17時00分 | 金曜日: 8時30分～17時00分 | 土曜日: 8時30分～17時00分 | 日曜日: 8時30分～17時00分,,,,https://maps.google.com/?cid=12261896522956084872&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.sanjusangendo.jp/,places/ChIJs4Cbj8oIAWARiBZl2-sBK6o/photos/Ab43m-s9AJuYc1Z4RKqLqQYN7YHz2zb6NtK6SWBlhzB6SvV9n4Iya2KmvQ5ZBFASOTE2Z0h6AEOWgbx-leXYRqSLXVMEW9UJKnLbKFT9m1MyT5pHVVGiFvuDDwnC1rbSojUWU8L_bweHAKl30vuZaOBGS1EPb-XUpGwIUvppWEosAjyqaGUrefoi5WNMRTNLPNCPqLXuVr80H285JomEpGOiSOc8BwnS4SHzv_0ld1ZMxBsEA_MKlxn9e6Yxu0j8GP_mNSrYV0WQ4P17X4q06aoj04pKYJirQGwcLmv9qyVHS8YGh9jMkeij0ZZzs6k-yo25L_RtCM-W8Uo9Qe3u_ysOEvmHclaFYUCjmsZLPit_u4w1uKgfTVJpHq4vlM5-odTXQMy_a6H4IQEy6ueOjtDQ_HoCKAjAFjc6zl6o5wMoYbs9wZxmIGM7QuuPaU5IgB99
寺廟,南禅寺,南禅寺,〒606-8435 京都府京都市左京区南禅寺福地町８６,35.0114138,135.7944841,4.32,4.5,12287,,月曜日: 8時40分～16時30分 | 火曜日: 8時40分～16時30分 | 水曜日: 8時40分～16時30分 | 木曜日: 8時40分～16時30分 | 金曜日: 8時40分～16時30分 | 土曜日: 8時40分～16時30分 | 日曜日: 8時40分～16時30分,,,,https://maps.google.com/?cid=4085672666846396493&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://nanzenji.or.jp/,places/ChIJ_fuXcyEJAWARTQDnx6Q5szg/photos/Ab43m-uS5GyZcXP7vDy0pCRB7QCOEpqAJQrE2dLR_Ih-9M89KTmqyaa9EG6JElShXvLHm2deh7y_ECL_copZIqn4i0GVAJsjXr-tUdhcS2p-fc83ZpNF_I2dsGNMlCsjGKY7CGkvtN2ol63W8f4WdePojxvzXBlhcGKn2R65z6-yoAuDiMfB_Z9y-mgp7zBzhV95uZWhiehe_YAYwbjFWmXgRKtgXqkjsvRhjUwqhLOeP-gYj7O40maM91rnVlI8e7eM-kaIQcBm0vBtCDWuyNYbvvCArqKqZZznLkBTjsK4ZgBrBkfJt6xASGcXTNDDyCeG7FP5-MX1EjxlxsWQLCTjpp4TXIAqG57NAIiQIz3lKB-_zY5ZZb3JVlajBh4KhkAawxV8s0S_K21nGBDmji9d_wGaMf6fZ65OSUFCtcjkX2m1-HqaH0NSvsDGdBOYhfg1
寺廟,龍安寺,龍安寺,〒616-8001 京都府京都市右京区龍安寺御陵ノ下町１３,35.0344943,135.71826339999998,6.55,4.5,11096,,月曜日: 8時00分～17時00分 | 火曜日: 8時00分～17時00分 | 水曜日: 8時00分～17時00分 | 木曜日: 8時00分～17時00分 | 金曜日: 8時00分～17時00分 | 土曜日: 8時00分～17時00分 | 日曜日: 8時00分～17時00分,,,,https://maps.google.com/?cid=16261116435795248450&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.ryoanji.jp/,places/ChIJp7ocMCqoAWARQoXXRj4Xq-E/photos/Ab43m-tqX6a0-86m_jRVdzts-qNst0LEa0X45N-sqTEQRzqhH6UdRWFpoD6VM8JkVJO8HYA7iI6sZBEMAKb6m6_Q2hj1KjWUim51kcpMrNWG4jDGLLrS6rjJ0DoeavPxpL_S7-Olr5PKDL-FlE50MbdNgjH9MmUer9-TDA1J1c61PG2hPGAyyWZRb9YE6-3-pIG7EWprZnLdwgZnnVFIyfcOQ7nmaufHhbo99t3H73rP_I5YRIhVQaSvF4z2sIgUJzEwqHnn55pnAtbhlrjB5qPs61zujEwASthWDSz8Ye35OhNQL4WKUPtpOML269yd6Q-jucws18l2t1-Us9VmA4L4lC2B8NItjkmaYucX0R_uNjWO56vNLkDYQu7WIH1f03u54Ltbryoab6LhtM3-tjiGdWMR2Flb6ZqjOHHJgyf4Q_iHKw
寺廟,仁和寺,仁和寺,〒616-8092 京都府京都市右京区御室大内３３,35.03109370000001,135.71381979999998,6.49,4.4,7760,,月曜日: 9時00分～17時00分 | 火曜日: 9時00分～17時00分 | 水曜日: 9時00分～17時00分 | 木曜日: 9時00分～17時00分 | 金曜日: 9時00分～17時00分 | 土曜日: 9時00分～17時00分 | 日曜日: 9時00分～17時00分,,,,https://maps.google.com/?cid=16869319989750642499&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://ninnaji.jp/,places/ChIJh1Gu838HAWARQ7d7NyfdG-o/photos/Ab43m-uYY1Rb04Dyc3508f6Om8SC1jiucRPhwPuXPuP49KP7n-5vyerTznR3wknU76hZDuTASueyvTTOcE3b-OJQ_oV33_A354uDJ4A9sUsWNIcP35BT0IHlscTNcQhPxinnYrlQa7MxZPOp7Htu2oQCP_RFcIGBaFjHmalSPKrJmdwHJJwMQWU5R3jWdkBZl8TljFExqe4TTB2oTx025t_-bevj_xm2iqOMFYP_pcCzU44dcPSU2-TLzlxaAXCROzIj-Pli1o_4JcAExVBieMmElvjAagmRLgIkeciRA7Yh277r9gD-pwP9wySQP7jiL0sG4SgC2244rkSL-xRNN6I4msuTSmtb7pBuInN5jvhq_fS8k3RWEbVvqY7y06lyhqpGymLZZEoBkaLV9jte0nUrtl6NwBrB3c0fi0db15F3Xh3a7FdP
寺廟,醍醐寺,醍醐寺,〒601-1325 京都府京都市伏見区醍醐東大路町２２,34.9511172,135.8193543,6.74,4.4,5928,,月曜日: 9時00分～16時30分 | 火曜日: 9時00分～16時30分 | 水曜日: 9時00分～16時30分 | 木曜日: 9時00分～16時30分 | 金曜日: 9時00分～16時30分 | 土曜日: 9時00分～16時30分 | 日曜日: 9時00分～16時30分,,,,https://maps.google.com/?cid=10444538046545984314&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.daigoji.or.jp/?utm_source=googlemybusiness&utm_medium=cpv&utm_campaign=20190601,places/ChIJuXbdnQ0OAWAROvtsCwR08pA/photos/Ab43m-vnVVDxy7s2q-oiVutUWAR1tCevLTD-j44k8-3X3rBH4SWYDaQP7CVP-Vymp_fPJ_bPlUPkeN_Gyp6uxqw4WX_SRoUvbBIIxztt_Obq3N5GIpJMTaefWsF8CEBWLsxfAy4uD2ISW17O0Ml_9SYXxUTTy2a4zu4dqagbfcxJ0iu5JdI1Wz-bECwIWu9n1gukQRUJtmrXG9fsvQqAo3HClybk1RcDPZlvsV0dFnZrvztldtUXMZsn7GX8L2lE04WZr006ifKt8gNn0I-jrTYpk0Cv7lsaHOLYa0mY76vaE9TY48ZlL_wyK1xHVrEpeJkohgAT6qzFfcj5dH8RlzCysvG1DTNyFbizYQ_NltVacvg23Gk7qRv10rX64HSs53dMPd_8keJuZ_TmYdYUqIWIjl9XciD6IvqKIZczo7I-QizeNpw1rMIptf9UxJ9UEg
寺廟,西源院,西源院,〒616-8001 京都府京都市右京区龍安寺御陵ノ下町,35.0337613,135.71790869999998,6.5,4.2,279,,月曜日: 11時00分～15時00分 | 火曜日: 11時00分～15時00分 | 水曜日: 定休日 | 木曜日: 定休日 | 金曜日: 11時00分～15時00分 | 土曜日: 11時00分～15時00分 | 日曜日: 11時00分～15時00分,,,,https://maps.google.com/?cid=3682759279630026169&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.ryoanji.jp/smph/index.html,places/ChIJq6rOPyqoAWARuQWffw3KGzM/photos/Ab43m-scOgTaDD2NWxS4dNykp4u8MIpY0w014OEvD6AnKyrRmwn5zoZPbChzLNRQ9LKkTl5kHsKRC7dBj1C4wkUFrNKW9KXHnXrDmz4oWcd-CC19vJ9ggPllNfd5aajB07JH8E2Ff4RD4kuOTZRa7tb_t4aRkmCmSaH9F2Gd4RtgN4gf6jh92Zgnx-yVhI1jI9i_6-PoPwV3XQEYcCqSud9_M7uGFtMX8u8x2USMjVfvS6WpU0hCnFj30F9aEl9A-XqirvCAz0OYddVTDrhDqy1lGRqw0-BL-f3GFyJxxlX6TCnX5vhxuDIYf2-vmt5PlPw-e1D_tK4d_CDBdGMemynKlLKJjBq5QBXKNuqwaqWqnHLsftRHQLs_WQSETUs8Y5XOCyZN4JQFhXPwMzt8R7OeOd7HwEH6K4fFbyA_VuxGU5HtW3CBxtqXuunmqLKZ2uJJ
寺廟,僧伽小野 京都浄教寺,僧伽小野 京都浄教寺,〒600-8031 京都府京都市下京区寺町通四条下る貞安前之町６２０ 三井ガーデンホテル京都河原町浄教寺 2F,35.002959499999996,135.7672044,2.05,4.3,101,,"月曜日: 6時30分～15時30分, 17時00分～21時30分 | 火曜日: 6時30分～15時30分, 17時00分～21時30分 | 水曜日: 6時30分～15時30分, 17時00分～21時30分 | 木曜日: 6時30分～15時30分, 17時00分～21時30分 | 金曜日: 6時30分～15時30分, 17時00分～21時30分 | 土曜日: 6時30分～15時30分, 17時00分～21時30分 | 日曜日: 6時30分～15時30分, 17時00分～21時30分",,,,https://maps.google.com/?cid=13346585093073781948&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://kdnz600.gorp.jp/,places/ChIJ9-t60pUIAWARvMQvzW2YOLk/photos/Ab43m-uLyu82ThDyRlO7I888CdDrWfZkVL1UM_p3VvgeAKTH2B7BPZsT5xxdutQCe89xSIqe_9VJxrEP0gcDuctP0StWat4cWLsvCdj2XwUPD6K4LNUIkL_w668J3CoxzDo8Ml8aLalAmHdMGPQghxqgNtNeohTNTpFzbgXc9qLa7270FHjX3w7ovELpVo_HnVzlNTptwf9dWa_u32aYBPaJAEQWlrk9HLGdbtnPHMKwkaZAJbJ9ZDj-7XCZRg5Ly2sJFRULVZqbk3qjnuMXWQE3gBmq-7ITv_pxKazt6fE60nilMQ
