類別,店名,日文店名,地址,緯度,經度,直線距離（km）,評分,評論數,價位等級,營業時間,交通時間（分鐘）,步行時間（分鐘）,換乘次數,Google Maps連結,店家網站,照片資源,精選,兼類別
拉麵,KIXエアポート カフェラウンジ NODOKA,KIXエアポート カフェラウンジ NODOKA,〒549-0011 大阪府泉南郡田尻町泉州空港中１ エアロブラザ 2階,34.4366342,135.2425341,5.41,4.2,1493,$$,月曜日: 24 時間営業 | 火曜日: 24 時間営業 | 水曜日: 24 時間営業 | 木曜日: 24 時間営業 | 金曜日: 24 時間営業 | 土曜日: 24 時間営業 | 日曜日: 24 時間営業,,,,https://maps.google.com/?cid=8637538164886370197&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://aprecio.jp/nodoka/,places/ChIJz1DHMtm5AGARlXfugzKz3nc/photos/Ab43m-sgd-Ns2Q7WfJs6W_J60MWOMae0qmJqHkNEjMn_6r_A3GODYi2Nez6ATqlH5c527o7AegF-pYX4M-pI550ZG4YeeCy-81JfbQLzVt-4rESmSw1F9rdMqXOe8Jk3F8LgbNyqbOQe3lDIEFALGBgG8HPPmV_Wh4epQFVCgE2IdwV5j-Z8fFsjQqJx6liinbfHDJz0T4QVIohbE7iJliHK-oULUmizXK2spm7u_tbcSiUEwV-i8fai6Lk5tNAuFLZb0wFdPgd0ywvj-HPz1bUU1T6NlHBIRwsNtPrBGa7kDXyP4w,,
拉麵,泉佐野塩元帥,泉佐野塩元帥,〒598-0045 大阪府泉佐野市松原１丁目２−４３,34.4037347,135.3026403,1.4,4,963,$$,"月曜日: 11時00分～15時00分, 18時00分～0時00分 | 火曜日: 11時00分～15時00分, 18時00分～0時00分 | 水曜日: 11時00分～15時00分, 18時00分～0時00分 | 木曜日: 11時00分～15時00分, 18時00分～0時00分 | 金曜日: 11時00分～15時00分, 18時00分～0時00分 | 土曜日: 11時00分～0時00分 | 日曜日: 11時00分～0時00分",,,,https://maps.google.com/?cid=13002864745252449786&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://shiogensui.com/,places/ChIJ243B9RzIAGAR-u04-5d0c7Q/photos/Ab43m-v0xm74NKAi-MMVd1Lh-b-ZSwryOv6ZQvd5NzWVqOH6FoL80nm9Z4NwAC66GxRxBHqQc5wRkiSYvyrL4Jzr92w575fOiL5o6qv1WaynjaIcnDNJ25DsnCKaQKZRhj_ccXabTiQS9ZX4NBugAsmNAiJrP2XaDLHkkCMgtkeewjPE90989BApe4MfGDycY5PEQZAAVQvtsjdERSXjm-V1-RnPe5P-N4zCzH2pGFEWZhYYvOkv9XT4IwbK4GF2JpCV58kZwWajJtAZZWCCeU3mlc77VzZ5GZMoqhX_TmVNeKu4CQ,,
拉麵,河童ラーメン本舗 泉佐野店,河童ラーメン本舗 泉佐野店,〒598-0006 大阪府泉佐野市市場西３丁目１−７,34.407118600000004,135.32161499999998,2.57,3.7,821,$$,月曜日: 10時30分～3時00分 | 火曜日: 10時30分～3時00分 | 水曜日: 10時30分～3時00分 | 木曜日: 10時30分～3時00分 | 金曜日: 10時30分～3時00分 | 土曜日: 10時30分～3時00分 | 日曜日: 10時30分～3時00分,,,,https://maps.google.com/?cid=17480182645060551158&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.kappa-hompo.co.jp/,places/ChIJ2b-xOGrIAGAR9kHIb4AVlvI/photos/Ab43m-ueGXU5pCf4Cn8iyN0uJMYLFXAjUw3OdLQfmA_jm1kb1mj9Lzxu447ZYCsXUsq8i0PT4SbNj9jnl9UPO927ScvQZsWHrTN0J8UbmgiV7VQ26Cbd1ghm-aS8BG6Grn5X4xU8sZmmJ1JbratZsD589KIxO_-xv518ZkArKYgdQ9KN4N2ZAnFJSczsbC_rYVWpXvj-__or3uOSri_BGC46gR7ixyDMM1e2BAvBCF9VCMmwXEpeyIFd9NgK-37iZwBLdpgw-lSR2jil-F4JZXFjPtVarz1Jx-vWwf9AmeJXpvzX_w,,
拉麵,ル・パン神戸北野 関西国際空港店,ル・パン神戸北野 関西国際空港店,〒549-0001 大阪府泉佐野市泉州空港北１ 第1ターミナルビル 2階 関西国際空港,34.4355093,135.2451217,5.14,4,696,,月曜日: 6時30分～22時00分 | 火曜日: 6時30分～22時00分 | 水曜日: 6時30分～22時00分 | 木曜日: 6時30分～22時00分 | 金曜日: 6時30分～22時00分 | 土曜日: 6時30分～22時00分 | 日曜日: 6時30分～22時00分,,,,https://maps.google.com/?cid=8819687874034690090&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.l-s.jp/lepan/shop/kanku/,places/ChIJtYO5ZB65AGARKmioiWTTZXo/photos/Ab43m-vKl8K-dBzGYTaO5jv93U9IAqoavkigSz0HBVEx0Pvpa5yunjynyF8ohciUt8SuKZOLNKAJM7Ql07A86lKXj2lvFTaz9lWWYx6Razf9c5hxzI2x3-wnCdV8G83rnQQnawQgcNvQDO-ESpb8h_WWgxOZiT8RKpTMC1Icz7vMuf09d0FmkkAcpZuIpWMQvloDLP1qGcoudryyDqlLpdoyArWeG04I9akbyDSialqMDDc0tZold3F-lZscxBEWpG2vJX5W_r6_pN12xsMcxWJzgP8LwGA8qS6dACqaegtuZwXQGg,,
拉麵,丸源ラーメン 泉佐野店,丸源ラーメン 泉佐野店,〒598-0076 大阪府泉佐野市市貝田町２丁目１４−５,34.4260196,135.34422179999999,4.67,3.9,680,$$,月曜日: 10時30分～2時00分 | 火曜日: 10時30分～2時00分 | 水曜日: 10時30分～2時00分 | 木曜日: 10時30分～2時00分 | 金曜日: 10時30分～2時00分 | 土曜日: 10時30分～2時00分 | 日曜日: 10時30分～2時00分,,,,https://maps.google.com/?cid=870201195002584057&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.syodai-marugen.jp/,places/ChIJg2AwnoXIAGAR-ds_V2CTEww/photos/Ab43m-vJLQCHCVHkzrnuYtWbDJD0aIJzYClACG4wLufA-yUrUzkN2itVzF2RML8dXc7-776nG1pYEimrENHZ89oTQD2GjsvD90KWlvryVkHnY_SLkiFnl7wQMeNH3CqzpEWGTPz69FPJwUiTz3UyE6KoMh9_a3VJ31T6Y5WKSWzFXVLcWsA0qff8xxkQVI_a4BGcon9crlcyG_jg8_DsNrubcVcy9NzKrELc2qiY2_snwxehUFLCeq1Bcw5dwrfOgV-JNkUAKVi9sgR7M7FyfG6tHEGAKJK-EbuYycYlRIfOMzC_Ug,,
拉麵,餃子の王将 泉南熊取店,餃子の王将 泉南熊取店,〒590-0412 大阪府泉南郡熊取町紺屋２丁目３−１６,34.4026401,135.3528814,5.46,3.5,677,$,月曜日: 11時00分～23時00分 | 火曜日: 11時00分～23時00分 | 水曜日: 11時00分～23時00分 | 木曜日: 11時00分～23時00分 | 金曜日: 11時00分～23時00分 | 土曜日: 11時00分～23時00分 | 日曜日: 11時00分～22時30分,,,,https://maps.google.com/?cid=685736385820795328&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://map.ohsho.co.jp/b/ohsho/info/1256/?utm_source=google&utm_medium=map&utm_campaign=profile,places/ChIJ9SPC0OHIAGARwKFoFpw5hAk/photos/Ab43m-tIUd821eYbm0-h-9ir0-ksvyUtip1-jj70Lc1t01JLbxCui12JFfTwQwITHCWs4d5aluFUfI-djCn_vbxfoZGoSEWBFmXwNmXj2AH5qWBYM4SveKWqvMgwl9d7O2VyWLRcKxsYAj7S95XUyrCZ7tXWEPUVHAYtjJuhxk4hujWliFlQ2gswwUd28JDPtfsriyqsjoneUnX_9k5JeXcDlirliXWb5Bsm9RX3dWUe8-6lPumD4-kXg4InioTlMEe3kR4S8Nn0qMtudEDsoPzne5zHeOaE4nsgU9vOIO1EiqJjsdgqwBTtrQtr6DhEC4GGjZOATeE2TYsmhUxkInwZpD5GqHsSObaLD42wjj0nT-pe-IqfXJv0J2vEixmKsOvw7d4RzJQm6q0UH4v-cSCJbMUnj8Yz-X1z5uFNVtJJ7-M2m1w,,
拉麵,らぁめん天風軒 りんくう店,らぁめん天風軒 りんくう店,〒598-0093 大阪府泉南郡田尻町りんくうポート北５−６,34.4016057,135.28916580000003,1.56,3.8,667,$$,月曜日: 11時00分～21時30分 | 火曜日: 11時00分～21時30分 | 水曜日: 11時00分～21時30分 | 木曜日: 11時00分～21時30分 | 金曜日: 11時00分～22時30分 | 土曜日: 11時00分～22時30分 | 日曜日: 11時00分～21時30分,,,,https://maps.google.com/?cid=2767483820494809692&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.tenpuken.com/,places/ChIJ56cAZPC3AGARXOo7Ot8TaCY/photos/Ab43m-uRo6YBoCBVlA-RB8fEgGNysrUp4SIIHMFTZwuybCY2cGaMh3Xk7uPaz0nDJr5tOYVXJM9zcpo3i9DJdLhP_o3zWoXMaVy8wFkY62JY7RkD5DarbxcjTMNeXSTagTWaH7tnzRDdSvDcP_WKNzdnOc4XD6kJzIeZw9sZB6Wc7-eITEis0o2mCHggPV73FInEaODJZYAjBnJFhAOM_FXiagQlGGr5sUA6iRZyVkgUzi8yah4OOFVHFhVOQoJyHYB1fU9boX7KNTa_w_OBXtlfX4dcIgskQgo8XL8RPLCQKf1asA,,
拉麵,鮮味館,鮮味館,〒598-0045 大阪府泉佐野市松原２丁目５−６０,34.40562,135.3044145,1.32,4.2,527,$,"月曜日: 11時00分～14時00分, 17時00分～0時00分 | 火曜日: 11時00分～14時00分, 17時00分～0時00分 | 水曜日: 11時00分～14時00分, 17時00分～0時00分 | 木曜日: 11時00分～14時00分, 17時00分～0時00分 | 金曜日: 11時00分～14時00分, 17時00分～0時00分 | 土曜日: 11時00分～14時00分, 17時00分～0時00分 | 日曜日: 11時00分～14時00分, 17時00分～0時00分",,,,https://maps.google.com/?cid=12253284230110756685&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,places/ChIJ0VbzXRvIAGARTb-lKxZpDKo/photos/Ab43m-siOWN4KjHdZFYWvBKj4sxAD23OgirdWtVo4wIERxSop_CnXFa7aNxvhW3CazTbkpzPohHeGB2V-0vi8YvmbRL1nh1AZFXwDE0nCQT_zuavnK4iwLPmD84JG6AjhQO2qqM0Cd-G8vMa-6zjejtwrcOIoH3brkyuc2OXd6KVh0gWouKS_HTsD3MdP20dC_dahNJ0pJGDGWI43NuDeLzXI0_RiM0p95HIjvjSbQeuZTPnQ9zgBFDNEW55oks_BWDtHSHIMP-oH1fXKMB_DvXf5xiNLuUclQPmrZnYqTjlGOTqC3p3fsWxWtFnCS1U664AXSrkCPP50UHhmKNxYL8ovo_Im--UAPbneZtzwBg-0Wz_4LqrIcvaqCtZwBWmBF_9kkU0h7hdYyjfVg3R9nbFt7vjwuWhzgjmHjp1G0Gzsp6oMiE,,
拉麵,ら～めん麺虎,ら～めん麺虎,〒590-0412 大阪府泉南郡熊取町紺屋２丁目６−５,34.4035515,135.351627,5.32,3.7,515,$$,"月曜日: 11時00分～14時30分, 18時00分～21時30分 | 火曜日: 11時00分～14時00分, 18時00分～21時30分 | 水曜日: 定休日 | 木曜日: 11時00分～14時30分, 18時00分～21時30分 | 金曜日: 11時00分～14時30分, 18時00分～21時30分 | 土曜日: 11時00分～14時30分, 18時00分～21時30分 | 日曜日: 定休日",,,,https://maps.google.com/?cid=10844180978018514295&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://foodplace.jp/mentora/,places/ChIJ82eyl_XIAGARd3XXAiVFfpY/photos/Ab43m-uPmIvS-bltPtUKzBZW-GAo8Gl9ZLGVJXNAI2nEj7EuQSmMLfmlKNknsL6flk6YlvVYXszwO420aC5QFAATxL3n55tNg5P5Kghqa59KNapNrM9QdZ7CwkeTJ-lX0wbho0054MxsYE42nm85_lklOLxi89rXIr9bZcbFWS8XL4Nl5gkFEAqRLk46RPXTovM7EnjxyTEj9EbjnmMhhdEcpkxE8U6aD-esvpsRL_yARtFDD5gmeadD4zTE_oq_f3a7ja5bdxlfrk0tyPp3K1N1bDBT9z97WYJwLYuAM6OJFeOdOhl58cflOtBPYfaTCqUw9kmvsvWp2IEWf7qfiYcaw5rZewrwzigbSjim1-sU0pTAXFDsuNFOgheiVeZRYWkByXSVF9quo59y6WzSujH9rEQD1WPDfFeflSEZna7EH39n71Ev,,
拉麵,丸亀製麺熊取,丸亀製麺熊取,〒590-0412 大阪府泉南郡熊取町紺屋２丁目２７−１１,34.4053561,135.34683139999999,4.85,3.5,509,$,月曜日: 11時00分～22時00分 | 火曜日: 11時00分～22時00分 | 水曜日: 11時00分～22時00分 | 木曜日: 11時00分～22時00分 | 金曜日: 11時00分～22時00分 | 土曜日: 10時30分～22時00分 | 日曜日: 10時30分～22時00分,,,,https://maps.google.com/?cid=2239955526414486181&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://stores.marugame.com/110621?utm_source=google_serps&utm_medium=gmb&utm_campaign=gbpwebs,places/ChIJJZpLxuTIAGARpcqb-K7rFR8/photos/Ab43m-soDocYbi8ehRvTSNrZj5YXXgfgWUryIlwRyCsjYd9GR8HAxbmbl8q0z5uR90J7tEx6_NgtP4czB67XMRbwKU6o66s6TYLpGbbWBgpGvkizKxBV_46mKAAMkzOKlcZanKNlwQXY34yZCcIw9df6dRTrqjAaFr5rsvjsayqx7YWwEToHqwBe3NAR3liSVRqmHOaaKvFwrkZkorifGbk9M1NAAhDF0RcHLA-_A4aqJVMev91An-ugg8CKh8nd_2SdtdNCJgMImjWOGUB_11mN3LAkp3i7cQrEC_Vb6E9i121529sQJ4kSja_AquUH1zOCUTLg-vlzPaX_DKNB6hfP31MxKkxNEk3qdb7vfi5iZcdiTBHXjM5pMPS5p5sBzcDXxd8Lkhk4381FUaOlpG3_bDYj0tuGB2NdQxWhNdVKHqCmqYL00M-hxHsN6l74UUty,,
