類別,店名,日文店名,地址,緯度,經度,直線距離（km）,評分,評論數,價位等級,營業時間,交通時間（分鐘）,步行時間（分鐘）,換乘次數,Google Maps連結,店家網站,照片資源,精選,兼類別
職人專門,御箸司 市原平兵衞商店,御箸司 市原平兵衞商店,〒600-8081 京都府京都市下京区小石町１１８−１,35.0029446,135.7634184,1.95,4.7,227,,月曜日: 10時00分～18時30分 | 火曜日: 10時00分～18時30分 | 水曜日: 10時00分～18時30分 | 木曜日: 10時00分～18時30分 | 金曜日: 10時00分～18時30分 | 土曜日: 10時00分～18時30分 | 日曜日: 11時00分～18時00分,,,,https://maps.google.com/?cid=3087454184770176084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://ichiharaheibei.com/,places/ChIJAQCTGpcIAWARVASFFznX2Co/photos/Ab43m-ulaYfUGzErz4B7_U0mXse98yZq62jZEyvc6uShrwvUIVYyqEeOnSnfaMM4NNZFwsxV74100bQi8vPW0xD3T82X1xZ97qir9jQlRURYqIOyepFtV_Tv0chMTf8hVBT7wMS21x0uvdxeAL8TLumSQmVZX6SdccK4x4eDRFCwOnmXMTYrI5k5ZcYba2LHAAUk1KNfn4dKLUo5GaIZj4k-GqUv8FasZ8dkLqEvRI8Ad9HYSGvGU-Z84mxwdnJRdzxgMG2RVd6M-ZfzQl948CDxhVNCDuUsaxe3nKOtYRrql8-EEwiEkUw-U1R9Qx18uEsA7rTtAoDFjyYcFoCxkdvIM_dttBLZdXVw3kgF-9hmEcrP3hR2TkzSj3ykpFhVfUH9EbmIdxfrwjr2fw9jUb5h0PwZIu70P3CHekhvInnR8S4,TRUE,
職人專門,永楽屋 細辻伊兵衛商店 四条店,永楽屋 細辻伊兵衛商店 四条店,〒600-8002 京都府京都市下京区四条通河原町西入ル御旅町３４,35.003896,135.7682,2.18,3.9,35,,月曜日: 11時00分～22時00分 | 火曜日: 11時00分～22時00分 | 水曜日: 11時00分～22時00分 | 木曜日: 11時00分～22時00分 | 金曜日: 11時00分～22時00分 | 土曜日: 11時00分～22時00分 | 日曜日: 11時00分～22時00分,,,,https://maps.google.com/?cid=7517771735481143987&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.eirakuya.jp/,places/ChIJ-_u-pZUIAWARs1LTA5B9VGg/photos/Ab43m-tCzIzDnZ69vYKgE3VBNiujYlXroZNZoV_GlqGJ2lUdFEjc1FAlPSvlv77OE3a6lEP52mq-kaEBCPYFNi0XeVherw1uMRPE2v5N9itJ35nbpCzzzXcSLIZB9q38cpQrDg8wgJhuXCsAASgpAsczPj0N-EZJxyIXNgSCl5x9W2C8NxQYnEh-Sz2lv1eN5aGW0fcY4DolUeBFue4bcS1Lj8C0smafz7ie0SiHWqs_EGzbGXorv-klw5ytJnc-44O3gdyS8nm70gZR9uvFRjApLYertY52gDONl5qlV_gZRxVvzg,TRUE,
職人專門,開化堂,開化堂,〒600-8127 京都府京都市下京区梅湊町84−１,34.9939448,135.7653604,1.08,4.5,134,,月曜日: 定休日 | 火曜日: 9時00分～18時00分 | 水曜日: 9時00分～18時00分 | 木曜日: 9時00分～18時00分 | 金曜日: 9時00分～18時00分 | 土曜日: 9時00分～18時00分 | 日曜日: 定休日,,,,https://maps.google.com/?cid=14950149067284792447&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.kaikado.jp/japanese/,places/ChIJg39PbJUIAWARf8SlDl6Zec8/photos/Ab43m-uWf0roMcmmqmPPRCS0F8qGrLAuZIfGaQfpllJDMsnPDrHoHCpIlD0nrsKSrG1JZLMy5dkXJsaVWKEFh5zwA60Kd_65A1N_B2BZfGN41p7MmhLSAwaTWECHfQ-gtzI7qgI9t8JDH1jgXP7PXn2L91Dr8Omm_NgyTvQTr7OXA4JdCHht_TVLCytgg1jVuRCRomtS5o0RBq9jRzv4K0F8EAKwkZuR6D24urK240NgU-3PTlC5l1Pm-cd_PlBzeJOEAKP4yHkIewDVtswpvm21N-EVpYSBRL2_h_HPJxiTgH7jIMwW-wWd-_Twusxj2LyOOZKki1YPh3pjLTPMsoBm4CV_WTpp0An73Mob6mhBsuPON87m5qs7qnCAkurFMvvipmWetrMgtSl8Rl4IGIZdJ10ETezbTkxjuE0YPHFjV6aXtOje,TRUE,
職人專門,京漆匠 象彦 京都寺町本店,京漆匠 象彦 京都寺町本店,〒604-0916 京都府京都市中京区要法寺前町719ｰ1,35.0139851,135.7670796,3.22,4.6,83,,月曜日: 10時00分～18時00分 | 火曜日: 定休日 | 水曜日: 10時00分～18時00分 | 木曜日: 10時00分～18時00分 | 金曜日: 10時00分～18時00分 | 土曜日: 10時00分～18時00分 | 日曜日: 10時00分～18時00分,,,,https://maps.google.com/?cid=6089732833356181687&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.zohiko.co.jp/,places/ChIJsXDGF4wIAWARt3A6Rb8Tg1Q/photos/Ab43m-u8AyeVkiG5jITKRqtwCSqr81BQHlRj6ygnjFh9eYlqiEV-UTni26ZSevnBuMYRMSB4udQ24zyudh-oZjFgX6wT0O4cJeJuHz_l3OTMIiWKSArRMH80daGvuZFqoI0Gf-qVBTWwBeJHAz82qVBJ6Ph3DVLtZI652MeZDZ92XeZLiNd3j5sni7Zs_z6VpNKlh-VP8AM9E2B_1c8xYJyRPvStgijJ7t5lY3u_uC0GsnlqfM1T-bnOFG-uJnjtmRvkYbLTm-AyzfiJu_SBKHNw_691uy5WRjXDEs8f1pR1WV1WOflizTGcHYmoK3uJSFhY0BTEg4D-ONOcLZgrHeUQK8nyF4KrtHZE1PNk1mf35XiGrcPrdDbPs-FkoByRdh45UnK4JeSbWhssVtcbvjmNNHwlmhl8eoNRhgHmMyF8Fnb3Ng,TRUE,
職人專門,香老舗 松栄堂 京都本店,香老舗 松栄堂 京都本店,〒604-0853 京都府京都市中京区烏丸通二条上ル東側真如堂町,35.014236,135.7598531,3.16,4.4,605,,月曜日: 9時00分～18時00分 | 火曜日: 9時00分～18時00分 | 水曜日: 9時00分～18時00分 | 木曜日: 9時00分～18時00分 | 金曜日: 9時00分～18時00分 | 土曜日: 9時00分～18時00分 | 日曜日: 9時00分～18時00分,,,,https://maps.google.com/?cid=13897199231750427360&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.shoyeido.co.jp/,places/ChIJQ0deS4YIAWAR4NJQHRLF3MA/photos/Ab43m-thJHgY4UOw4YA-145dPUU3LQmKXBEtsNcy5Z_fQsmLSYvx6tq-CLWRLW23fyg0otX59UEslKbbGJGwc7Flj3LiLi4T_egYSWZ7c4vgllB8-WgMbJxiRMnJZqegsdwYOPtdTGTuSToWVOlJS8ZUKrWOAZJC_SFLKeT0cuR8EB5XhMcG-qB0Y1N7jePaHsXt-rcl2y7RnWvg8L9UoQPZuQy3LsXTLRmQ3dy4VCnZFC-PfVhGK4Qd3MPscD1QOR0hHmGCkgh6K0_BmQPTQiC1MsCOgYF2kkBPbIs065rQfQpEbfTMyQ6N8ig54mIrLlG2KrLmfV28UgvopFCHEDwhzJgF6rLp701SX9N1YxJuDdLomNXKIyGuDlFABhuY-KPffPTA48_4yvd10d7Zte9DjLi8YWogA1sZGhzg6MR5J1pjEBRN,TRUE,
職人專門,山田松香木店 京都本店,山田松香木店 京都本店,〒602-8014 京都府京都市上京区勘解由小路町１６４,35.0211324,135.7578876,3.92,4.6,317,,月曜日: 10時30分～17時00分 | 火曜日: 10時30分～17時00分 | 水曜日: 10時30分～17時00分 | 木曜日: 10時30分～17時00分 | 金曜日: 10時30分～17時00分 | 土曜日: 10時30分～17時00分 | 日曜日: 10時30分～17時00分,,,,https://maps.google.com/?cid=5812795988246134037&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.yamadamatsu.co.jp/,places/ChIJ__8rwXsIAWARFf05Xyczq1A/photos/Ab43m-tbCn3kZNDGMzNp4Z3t4Sr8Fh43DqbpxS8Fa4RwIcWGO_myamzu8KnQs9UBJe0Oz9jNp7Hm1gRDUBsD-7V9pGIMePJVHon3Cu2sLJlOSN88dPKrJR_iaBPoAqEVmDv4gkFu3Hkso1EPsRYf-QCq2XBiYnHyTUn6ndJksLxEiAkDud53WehtqRzOYnRncAsiMgCJDz0aw8pXxdZBFQZ0s7zh7S-VwgWNv7OVVvxGPCm7AZYgrdaxzPpA3xOu97cnLGd12OtjW9HRX5t1p_Z7ypJc7_7U-6XFqRbxjYtFNYcAC3Ou_9bV5_aigCtGAG_NX4f_mEzITTKbknWRH59pIdH3-iof_nQSOUKPmzfOLXzZYyTN4Oww-q2c0tbtZaYiRVIjIBCSroiFZxyKVBX3sJOIvlijwv8tW_VPc4gbnOxh4A,TRUE,
職人專門,京都鳩居堂 本店,京都鳩居堂 本店,〒604-8091 京都府京都市中京区下本能寺前町５２０,35.0099747,135.76706819999998,2.79,4.4,831,,月曜日: 10時00分～18時00分 | 火曜日: 10時00分～18時00分 | 水曜日: 10時00分～18時00分 | 木曜日: 10時00分～18時00分 | 金曜日: 10時00分～18時00分 | 土曜日: 10時00分～18時00分 | 日曜日: 10時00分～18時00分,,,,https://maps.google.com/?cid=9802374437843048877&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.kyukyodo.co.jp/index.html,places/ChIJS0yvEZIIAWARrRkBs50HCYg/photos/Ab43m-sA4pBfkMEgoaXBbVTKKClfs86qUn-8D51lyn2-0m3WFgeHFBw8JrWUpy6IyQBULfoBgZtgxnyAmAzQ7Htd7ced63n0LFiuLuV83U_vQa7lgPWgGagtkqrKihJaFbNrLU9YIezJtzmde5U318IMDlShIxECrVNGM9Qm5h3IN6CJ4gdaSxh8JdxvFwihXsOCaLNlua2kDri03iDxXn-1OFXKIzcp2toPMgueF7Dsc0L-Vh4uwX_Yx8qFyriJPHNIsijOFXlgNNU6_CrGz-Cx3wBqwodZ4JkdUKFhFLcsTy9OG7e9iJbwEgvlzl8E7wl3Bs5eiVykVcc-uUccOFPwIODwebJ8tL7MvqYg0C3RkCd5cAVK40sLx9Rd9C49R-B3xy33Yyeea6G9j-dIYevzf_AQb3h-o4E6dYxWBy659p5otQ,TRUE,
職人專門,有次 錦店,有次 錦店,〒604-8052 京都府京都市中京区錦小路通御幸町西入る鍛冶屋町２１９,35.005100399999996,135.7661876,2.24,4.4,674,,月曜日: 10時00分～17時00分 | 火曜日: 10時00分～17時00分 | 水曜日: 定休日 | 木曜日: 10時00分～17時00分 | 金曜日: 10時00分～17時00分 | 土曜日: 10時00分～17時00分 | 日曜日: 10時00分～17時00分,,,,https://maps.google.com/?cid=3174108436318539455&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://aritsugu.co.jp/,places/ChIJC22qp5YIAWARv05WQc6yDCw/photos/Ab43m-v0HUYTGwV9B3OGCZhTntbgpm0G-kVlrWOP0gnqMl8Nc7fZa2Qc8y-F65dUIXP75XOhqvWtRKg5OXiN6lxvdKgRZqzdDkAEO2avaIHWNPbuawuQvSrRZUEtpfK9IRSfXWHzyFNHmTSAXiKrz4gv8mmswZnncecz9ou53hGPQghBcNu_DWANyGcnBFr-pqkSWM6skzDxjpgGcUJ_i_LB-CgOt4JRQ-OrlcJqARanB30KLJygvc3ubXL_7l3KkOYayL-fud-Q9ugaYNg2emi6iFbwCiMDjEFVuiD4ihFE9iwQPtoytn33iBCIx2jiKiMF9ZUBVJS0GnTvYuOQpgwpWPgLeGSYHBctZ_zqpqIVoC3WwluWuJMZIGd6XRi3z1e8wYMGoHk0pcYI4GHMyYqzkaOxGvUe3mj8O1uUFcCMLp4skw,TRUE,
職人專門,唐草屋,唐草屋,〒601-8015 京都府京都市南区東九条上御霊町２−１９ グランド・パルテイール,34.9805913,135.7613155,0.63,3.1,10,$$,,,,,https://maps.google.com/?cid=5667099478468048268&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,places/ChIJAQCEplIPAWARjLXjOPOUpU4/photos/Ab43m-vToFzjNAgBtdDW-QJrD8pT3CDQTcu4LNfxUyYP7MoPLuWWy0bUgfNjGTBtg86gVQ-G448_zQ4yq-9_MEPeT4Itbu6ix0MWoFTMpLaYtw_0aeOXceOkMsG0zn_mk6fAsHrVLtQKPXlOeoEG6GKw73Hy8FwQNmCwMzFTuLdQbffuR8GNTCHbpiK916t37siWoGFA6WCt1qGTCcfSSwZ9YSXXi91tABSsCxYUWnXBQScZ9Xco4_vfE3YLj-s8Xe0Vy9ra29RonOmQrkdyQWAt7H1kipVlLBTLqrWra45C1CHzy9K8CX7tYr4Q3aOaqCBUPdlguzgG7Pg8GOxZzlTc0AgUFS7esbcCuyy-a1ctHj9ypIkwaU9TQWotduyHMBCL0RwTAJ849_neFCirD4K8pwcP30nUFILYNBqP7-myZb2_YmBL,TRUE,
職人專門,ふろしきむす美 京都店,ふろしきむす美 京都店,〒604-8111 京都府京都市中京区桝屋町６７,35.008486399999995,135.7633938,2.55,4.5,117,,月曜日: 11時00分～19時00分 | 火曜日: 11時00分～19時00分 | 水曜日: 11時00分～19時00分 | 木曜日: 11時00分～19時00分 | 金曜日: 11時00分～19時00分 | 土曜日: 11時00分～19時00分 | 日曜日: 11時00分～19時00分,,,,https://maps.google.com/?cid=7502319162805752071&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.kyoto-musubi.com/?utm_source=google&utm_medium=map,places/ChIJN8SRL5AIAWARB5GkkoeXHWg/photos/Ab43m-sYjrGuyg38WM0mkp4preGVwgn_j2HsCU2Oxu49cPNyTTiM9GkvRkO0WkvHvYhGkgs9nuDldD6HJIZSdJMrC4ClNJFnhCy-oMFqWMcUhT2fkg57A4_KhMj3V1--OoFpeD4ah8SRCitFP1frbW0D3nUV6pXo21Cefv6BEbHMNW02Zw9Re1q24o_HFtOw-SrMb_oeL51qRi3IhuW_2YxkjLhTRAEqhAAOtLxSJu0Ss2WWGZkeDzdKz-Uy5JoPn8VyVsQF6Dtb9uCnf6Wj7rM8Cr8Oh0-IqEqmZtDpnJpIXN6Dq3g7uIgya_mNH0pggQA0ieHuP58PaHCyzLzcYcV-3hN9YVtzMM6zZ25nYL1AaO6CCAzhRp-zL6jBpdK3ytZX-nVgIJfMwDeBiI5ENJxTokQ9fUGCH_JTx3B-oCvsXck,TRUE,
